name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,easting,northing,longitude,latitude,runtime
Sydenham community library service,Sydenham Road,,,Lewisham,,100023262826,E09000023,Sydenham,E05000452,536318.0001221001,171590.00012210011,-0.03900733166117893,51.42640820557485,11/20/2022
Downham Library,Moorside Road,Bromley,,Lewisham,,100022890162,E09000023,Downham,E05000442,539825.0001221001,171701.00012210011,0.01145318367595352,51.42655122879919,11/20/2022
Sidcup Library,Hadlow Road,Sidcup,,Bexley,,100022918511,E09000004,Sidcup,E05011230,546445.0001221001,171750.00012210011,0.10663786271583707,51.42531936897319,11/20/2022
Kingswood Library,Seeley Drive,,,Southwark,,200003436418,E09000028,Dulwich Wood,E05011101,533450.0001221001,171905.00012210011,-0.08012089214867327,51.42992201696994,11/20/2022
Streatham,Streatham High Road,,,Lambeth,,100023315960,E09000022,Streatham Wells,E05000432,530149.0001221001,171946.00012210011,-0.12756807619150148,51.43105845426354,11/20/2022
Coldharbour Library,William Barefoot Drive,Eltham,,Greenwich,,10010224659,E09000011,Coldharbour and New Eltham,E05000217,543113.8400878981,172153.98010249436,0.058915382605098064,51.42980096879223,11/20/2022
Ham,Ham Street,Ham,,Richmond upon Thames,,100023395688,E09000027,"Ham, Petersham and Richmond Riverside",E05000519,517337.0001221001,172337.00012210011,-0.3116718962683163,51.43737165832575,11/20/2022
Hanworth Library,Hampton Road West,Feltham,,Hounslow,,100023517802,E09000018,Hanworth,E05000353,512072.0001221001,172492.00012210011,-0.38734636779321574,51.439831254267055,11/20/2022
Forest Hill Library,Dartmouth Road,,,Lewisham,,100023257020,E09000023,Forest Hill,E05000444,535208.0001221001,172558.00012210011,-0.05459564214519615,51.43537398912668,11/20/2022
Grove Park community library service,Somertrees Avenue,,,Lewisham,,100023232090,E09000023,Grove Park,E05000445,540745.0001221001,172715.00012210011,0.025081989596105716,51.435436268559094,11/20/2022
Mottingham Library,Mottingham Road,,,Bromley,,100023283985,E09000006,Mottingham and Chislehurst North,E05000121,542139.0001221001,172921.00012210011,0.04520832611648285,51.436939487434884,11/20/2022
Heathfield Library Access Point,Percy Road,Twickenham,,Richmond upon Thames,,100023401561,E09000027,Heathfield,E05000523,513762.0001221001,172934.00012210011,-0.3628967179214056,51.443467402095365,11/20/2022
